record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-22 01:16:44,2026-04-22 01:00:00,91,91,64,20.4,12.8,3.1,5.5,15,58,2.5
2026-04-22 03:37:26,2026-04-22 03:00:00,78,78,58,18.3,11,2.6,5.5,12,71,1.5
2026-04-22 05:05:26,2026-04-22 04:00:00,74,74,56,17.1,9.6,2.6,4.6,9,87,0.5
2026-04-22 05:59:09,2026-04-22 05:00:00,80,80,57,13.9,7.8,2.1,5.5,8,93,0.5
2026-04-22 06:59:01,2026-04-22 06:00:00,85,85,59,13.5,6,2.1,5.5,10,81,1.5
2026-04-22 07:52:08,2026-04-22 07:00:00,95,95,63,13.5,6.4,2.1,5.5,13,71,0.5
2026-04-22 11:42:37,2026-04-22 11:00:00,89,89,64,35.4,6.4,3.1,5.5,20,42,1.5
2026-04-22 14:10:49,2026-04-22 13:00:00,91,91,60,46.8,5.5,3.1,4.6,22,37,2.5
2026-04-22 16:07:32,2026-04-22 15:00:00,93,93,63,50,5.1,3.1,4.6,22,40,3.6
2026-04-22 17:52:29,2026-04-22 17:00:00,80,80,67,57.8,4.6,3.1,4.6,22,40,3.6
